date,session_key,rpm,brake,speed,drs,throttle,n_gear,driver_number,meeting_key,x,y,z,driver,mds_x,mds_y
2024-04-07 05:39:08.930000+00:00,9496,11148,0,232,0,86,5,1,1232,4104.0,-5938.0,591.0,1,0.3966344666874298,-0.026026628423591283
2024-04-07 05:39:10.250000+00:00,9496,10834,0,213,0,68,5,1,1232,3424.0,-5458.0,607.0,1,0.17147173817440622,-0.023808843719364807
2024-04-07 05:39:10.850000+00:00,9496,10737,0,214,0,0,5,1,1232,3073.0,-5427.0,618.0,1,-0.45159788710840437,0.17854175712940348
2024-04-07 05:39:11.250000+00:00,9496,10127,100,204,0,0,5,1,1232,2861.0,-5386.0,628.0,1,-0.9081527126200584,0.5867497508210271
2024-04-07 05:39:11.971000+00:00,9496,9590,0,187,0,39,5,1,1232,2518.0,-5159.0,649.0,1,-0.2067259132861047,-0.13481933315803316
2024-04-07 05:39:12.571000+00:00,9496,9793,0,187,0,63,5,1,1232,2373.0,-4910.0,661.0,1,0.01145105296818563,-0.17099541037109636
2024-04-07 05:39:13.370000+00:00,9496,10443,0,201,0,97,5,1,1232,2253.0,-4502.0,679.0,1,0.36317549045930364,-0.18352655817164992
2024-04-07 05:39:13.810000+00:00,9496,10314,0,206,0,0,5,1,1232,2155.0,-4194.0,695.0,1,-0.4875326725576767,0.08632706522974219
2024-04-07 05:39:14.130000+00:00,9496,9989,0,201,0,0,5,1,1232,2026.0,-4004.0,706.0,1,-0.5128366617240047,0.025005527864408204
2024-04-07 05:39:14.890000+00:00,9496,9678,0,186,0,57,5,1,1232,1846.0,-3852.0,717.0,1,-0.048512044701127535,-0.16946245593426967
2024-04-07 05:39:15.690000+00:00,9496,10186,0,194,0,85,5,1,1232,1387.0,-3710.0,738.0,1,0.2317678189656653,-0.1819583908082663
2024-04-07 05:39:16.370000+00:00,9496,10612,100,205,0,92,5,1,1232,1076.0,-3691.0,751.0,1,-0.13851188893097108,0.8898109966568009
2024-04-07 05:39:16.930000+00:00,9496,9499,100,193,0,0,5,1,1232,662.0,-3591.0,759.0,1,-0.9733189595991466,0.5059036899982386
2024-04-07 05:39:17.290000+00:00,9496,9160,100,183,0,0,5,1,1232,580.0,-3546.0,759.0,1,-1.0203766360546012,0.4521242141687951
2024-04-07 05:39:17.970000+00:00,9496,8600,0,171,0,0,5,1,1232,333.0,-3342.0,757.0,1,-0.6484769870232486,-0.23987454468667202
2024-04-07 05:39:18.571000+00:00,9496,8290,0,163,0,11,5,1,1232,152.0,-3037.0,751.0,1,-0.5879783793938138,-0.314086604927865
2024-04-07 05:39:19.011000+00:00,9496,8521,0,162,0,48,5,1,1232,124.0,-2844.0,746.0,1,-0.25809264002918936,-0.366196189950506
2024-04-07 05:39:19.491000+00:00,9496,8690,0,165,0,67,5,1,1232,163.0,-2638.0,741.0,1,-0.08749206320544096,-0.387191418075789
2024-04-07 05:39:20.210000+00:00,9496,9507,0,181,0,100,5,1,1232,267.0,-2377.0,739.0,1,0.2856707156733844,-0.3498815839470608
2024-04-07 05:39:20.890000+00:00,9496,10248,0,197,0,65,5,1,1232,413.0,-2005.0,748.0,1,0.07791084811965932,-0.1056346794190782
2024-04-07 05:39:21.250000+00:00,9496,10407,0,199,0,75,5,1,1232,463.0,-1819.0,759.0,1,0.17733587243743804,-0.11931535652033104
2024-04-07 05:39:21.810000+00:00,9496,10589,0,202,0,80,5,1,1232,428.0,-1507.0,782.0,1,0.23892909621761416,-0.11550205768269134
2024-04-07 05:39:22.250000+00:00,9496,10713,0,207,0,84,5,1,1232,275.0,-1252.0,803.0,1,0.2906254733496865,-0.10643094607820174
2024-04-07 05:39:22.770000+00:00,9496,11081,0,212,0,92,5,1,1232,119.0,-1114.0,817.0,1,0.4031200646839173,-0.10802105063971648
2024-04-07 05:39:23.370000+00:00,9496,11598,0,221,0,100,5,1,1232,-250.0,-929.0,846.0,1,0.5476161910058667,-0.11078511986025921
2024-04-07 05:39:24.170000+00:00,9496,10890,0,237,0,100,6,1,1232,-702.0,-768.0,869.0,1,0.5254354629914861,0.2020040548819216
2024-04-07 05:39:24.610000+00:00,9496,11119,0,245,0,100,6,1,1232,-1098.0,-705.0,879.0,1,0.5637213197392303,0.22258785401923287
2024-04-07 05:39:25.171000+00:00,9496,11415,0,253,0,100,6,1,1232,-1473.0,-703.0,881.0,1,0.6136776657768888,0.24100823552453185
2024-04-07 05:39:25.651000+00:00,9496,11606,0,258,0,100,6,1,1232,-1779.0,-745.0,879.0,1,0.648879927306913,0.2515289603503724
2024-04-07 05:39:26.171000+00:00,9496,10546,0,265,0,100,7,1,1232,-2043.0,-835.0,876.0,1,0.6330043492758175,0.5483471595870397
2024-04-07 05:39:26.530000+00:00,9496,10675,0,268,0,100,7,1,1232,-2350.0,-983.0,871.0,1,0.6501197003084648,0.5504777582499742
2024-04-07 05:39:26.970000+00:00,9496,10868,0,271,0,100,7,1,1232,-2671.0,-1200.0,867.0,1,0.6732258032991119,0.5515336317194209
2024-04-07 05:39:27.370000+00:00,9496,10951,0,275,0,100,7,1,1232,-2833.0,-1360.0,864.0,1,0.6877137673491214,0.5610250910892763
2024-04-07 05:39:27.890000+00:00,9496,11081,0,279,0,100,7,1,1232,-3173.0,-1805.0,856.0,1,0.7063582483436032,0.5705537066354566
2024-04-07 05:39:28.490000+00:00,9496,11117,0,284,0,0,7,1,1232,-3382.0,-2080.0,852.0,1,-0.010669116348394347,0.9906759882545415
2024-04-07 05:39:29.170000+00:00,9496,10322,100,245,0,0,7,1,1232,-3711.0,-2480.0,846.0,1,-0.6166268948995792,1.1049966307701484
2024-04-07 05:39:29.730000+00:00,9496,9871,0,234,0,55,6,1,1232,-3974.0,-2699.0,840.0,1,0.08734447285082403,0.2714369541866083
2024-04-07 05:39:30.170000+00:00,9496,10042,0,220,0,83,6,1,1232,-4177.0,-2745.0,835.0,1,0.2912831133623906,0.18668552044292328
2024-04-07 05:39:31.170000+00:00,9496,8996,100,209,0,0,6,1,1232,-4996.0,-2870.0,815.0,1,-0.865771126964526,0.7542144831539903
2024-04-07 05:39:31.931000+00:00,9496,8578,100,150,0,0,4,1,1232,-5232.0,-2863.0,806.0,1,-1.2526587290146698,0.09971088716833663
2024-04-07 05:39:32.611000+00:00,9496,7759,0,131,0,0,4,1,1232,-5498.0,-2759.0,799.0,1,-0.7930939659277594,-0.6205325231964006
2024-04-07 05:39:33.130000+00:00,9496,7711,0,125,0,34,4,1,1232,-5599.0,-2614.0,803.0,1,-0.5256948824023733,-0.7097734421929075
2024-04-07 05:39:33.490000+00:00,9496,7959,0,128,0,49,4,1,1232,-5623.0,-2555.0,803.0,1,-0.38005046184492114,-0.7145776162136667
2024-04-07 05:39:34.170000+00:00,9496,8861,0,145,0,73,4,1,1232,-5684.0,-2202.0,802.0,1,-0.08612687501134604,-0.6471428754159905
2024-04-07 05:39:34.610000+00:00,9496,10150,0,166,0,100,4,1,1232,-5695.0,-2117.0,801.0,1,0.280495468780143,-0.5839751450388933
2024-04-07 05:39:35.050000+00:00,9496,11139,0,181,0,100,4,1,1232,-5751.0,-1856.0,801.0,1,0.41857174139751846,-0.5143613868061384
2024-04-07 05:39:35.490000+00:00,9496,12060,0,198,0,100,4,1,1232,-5791.0,-1673.0,801.0,1,0.5788425187239938,-0.47667288187021384
2024-04-07 05:39:35.810000+00:00,9496,10730,0,201,0,100,4,1,1232,-5850.0,-1399.0,802.0,1,0.41508418072344355,-0.45913095533047027
2024-04-07 05:39:36.170000+00:00,9496,11166,0,215,0,100,5,1,1232,-5882.0,-1249.0,803.0,1,0.4808516195641784,-0.12450066824118491
2024-04-07 05:39:36.770000+00:00,9496,11776,0,229,0,100,5,1,1232,-5944.0,-962.0,808.0,1,0.5896870601273031,-0.09230279098392417
2024-04-07 05:39:37.130000+00:00,9496,10678,0,238,0,100,6,1,1232,-5996.0,-722.0,814.0,1,0.5049504105959322,0.21038827280423034
2024-04-07 05:39:37.530000+00:00,9496,10977,0,243,0,100,6,1,1232,-6048.0,-462.0,825.0,1,0.5445102161705297,0.21933482614453997
2024-04-07 05:39:37.930000+00:00,9496,11184,0,248,0,100,6,1,1232,-6111.0,-125.0,842.0,1,0.5763827634171459,0.23080379217717692
2024-04-07 05:39:38.451000+00:00,9496,11026,0,250,0,0,6,1,1232,-6144.0,162.0,855.0,1,-0.2431400286363359,0.5880812554362553
